Ndex,pokemon_name,pokemon_height,pokemon_weight,t1,t2,color,evolution
#023,Ekans,2.0 m,6.9 kg,Poison,Unknown,Purple,Arbok
#021,Spearow,0.3 m,2.0 kg,Normal,Flying,Brown,Fearow
#024,Arbok,3.5 m,65.0 kg,Poison,Unknown,Purple,Final
#022,Fearow,1.2 m,38.0 kg,Normal,Flying,Brown,Final
#025,Pikachu,0.4 m,6.0 kg,Electric,Unknown,Yellow,Raichu
#019,Rattata,0.3 m,3.5 kg,Normal,Unknown,Purple,Raticate;Alolan Raticate
#020,Raticate,0.7 m,18.5 kg,Normal,Unknown,Brown,Final
#018,Pidgeot,1.5 m,39.5 kg,Normal,Flying,Brown,Final
#014,Kakuna,0.6 m,10.0 kg,Bug,Poison,Yellow,Beedrill
#013,Weedle,0.3 m,3.2 kg,Bug,Poison,Brown,Kakuna
#017,Pidgeotto,1.1 m,30.0 kg,Normal,Flying,Brown,Pidgeot
#011,Metapod,0.7 m,9.9 kg,Bug,Unknown,Green,Butterfree
#012,Butterfree,1.1 m,32.0 kg,Bug,Flying,White,Final
#016,Pidgey,0.3 m,1.8 kg,Normal,Flying,Brown,Pidgeotto
#015,Beedrill,1.0 m,29.5 kg,Bug,Poison,Yellow,Final
#898,Calyrex,1.1 m,7.7 kg,Psychic,Grass,Green,Final
#897,Spectrier,2.0 m,44.5 kg,Ghost,Unknown,Black,Final
#896,Glastrier,2.2 m,800.0 kg,Ice,Unknown,White,Final
#895,Regidrago,2.1 m,200.0 kg,Dragon,Unknown,Green,Final
#894,Regieleki,1.2 m,145.0 kg,Electric,Unknown,Yellow,Final
#893,Zarude,1.8 m,70.0 kg,Dark,Grass,Black,Final
#892,Urshifu,1.9 m,105.0 kg,Fighting,Dark,Gray,Final
#888,Zacian,2.8 m,110.0 kg,Fairy,Unknown,Blue,Final
#887,Dragapult,3.0 m,50.0 kg,Dragon,Ghost,Green,Final
#886,Drakloak,1.4 m,11.0 kg,Dragon,Ghost,Green,Dragapult
